"","Year","NODCCODE","Scientificname","Commonname","CPUE","EstDensity"
"1",2001,"8835430201","Lagodon rhomboides","Pinfish",16.4966099905626,27.494349984271
"2",2002,"8835430201","Lagodon rhomboides","Pinfish",7.41122056789316,12.3520342798219
"3",2003,"8835430201","Lagodon rhomboides","Pinfish",22.4640121213472,37.4400202022453
"4",2004,"8835430201","Lagodon rhomboides","Pinfish",16.3076513871786,27.179418978631
"5",2005,"8835430201","Lagodon rhomboides","Pinfish",9.28550966696527,15.4758494449421
"6",2006,"8835430201","Lagodon rhomboides","Pinfish",24.4859936997135,40.8099894995225
"7",2007,"8835430201","Lagodon rhomboides","Pinfish",5.1599255299971,8.5998758833285
"8",2008,"8835430201","Lagodon rhomboides","Pinfish",16.7606635036942,27.9344391728237
"9",2009,"8835430201","Lagodon rhomboides","Pinfish",14.1507048980994,23.584508163499
"10",2010,"8835430201","Lagodon rhomboides","Pinfish",23.4597183708769,39.0995306181282
"11",2011,"8835430201","Lagodon rhomboides","Pinfish",12.5592781855818,20.932130309303
"12",2012,"8835430201","Lagodon rhomboides","Pinfish",4.70805732565098,7.8467622094183
"13",2013,"8835430201","Lagodon rhomboides","Pinfish",7.04953666533632,11.7492277755605
"14",2014,"8835430201","Lagodon rhomboides","Pinfish",7.63035717862131,12.7172619643688
"15",2015,"8835430201","Lagodon rhomboides","Pinfish",8.91093865200781,14.851564420013
"16",2016,"8835430201","Lagodon rhomboides","Pinfish",2.35398711747318,3.9233118624553
"17",2017,"8835430201","Lagodon rhomboides","Pinfish",11.1998339999978,18.6663899999964
"18",2018,"8835430201","Lagodon rhomboides","Pinfish",3.46313530147155,5.77189216911924
"19",2019,"8835430201","Lagodon rhomboides","Pinfish",3.72511224261621,6.20852040436036
"20",2020,"8835430201","Lagodon rhomboides","Pinfish",3.57846431415712,5.96410719026187
"21",2021,"8835430201","Lagodon rhomboides","Pinfish",8.24590367319198,13.7431727886533
