"","NODCCODE","Scientificname","Commonname","Year","CPUE","EstDensity"
"1","8835430302","Archosargus rhomboidalis","Sea Bream",2001,0.448162274618585,0.746937124364309
"2","8835430302","Archosargus rhomboidalis","Sea Bream",2002,0.0606796116504854,0.101132686084142
"3","8835430302","Archosargus rhomboidalis","Sea Bream",2003,0.230582524271845,0.384304207119741
"4","8835430302","Archosargus rhomboidalis","Sea Bream",2004,0.178224687933426,0.29704114655571
"5","8835430302","Archosargus rhomboidalis","Sea Bream",2005,0.760517799352751,1.26752966558792
"6","8835430302","Archosargus rhomboidalis","Sea Bream",2006,0.0606796116504854,0.101132686084142
"7","8835430302","Archosargus rhomboidalis","Sea Bream",2007,0.421463143019745,0.702438571699574
"8","8835430302","Archosargus rhomboidalis","Sea Bream",2008,0.233802258767585,0.389670431279308
"9","8835430302","Archosargus rhomboidalis","Sea Bream",2009,0.257826431543491,0.429710719239152
"10","8835430302","Archosargus rhomboidalis","Sea Bream",2010,0.950314106225014,1.58385684370836
"11","8835430302","Archosargus rhomboidalis","Sea Bream",2011,0.0485436893203883,0.0809061488673139
"12","8835430302","Archosargus rhomboidalis","Sea Bream",2012,0.0728155339805825,0.121359223300971
"13","8835430302","Archosargus rhomboidalis","Sea Bream",2013,0.253435884503846,0.422393140839743
"14","8835430302","Archosargus rhomboidalis","Sea Bream",2014,0.156033287101248,0.26005547850208
"15","8835430302","Archosargus rhomboidalis","Sea Bream",2015,0.494322122052705,0.823870203421174
"16","8835430302","Archosargus rhomboidalis","Sea Bream",2016,0.334380185304936,0.557300308841561
"17","8835430302","Archosargus rhomboidalis","Sea Bream",2017,1.5611034057636,2.601839009606
"18","8835430302","Archosargus rhomboidalis","Sea Bream",2018,1.41853505403626,2.36422509006044
"19","8835430302","Archosargus rhomboidalis","Sea Bream",2019,1.39960838704414,2.33268064507356
"20","8835430302","Archosargus rhomboidalis","Sea Bream",2020,0.621377004872151,1.03562834145358
"21","8835430302","Archosargus rhomboidalis","Sea Bream",2021,0.649832748633434,1.08305458105572
