"","Year","Temperature"
"1",2001,24.7309510357815
"2",2002,24.9094483240223
"3",2003,25.1135796387521
"4",2004,25.174533957034
"5",2005,25.0302195767196
"6",2006,25.0319627560521
"7",2007,25.0601940729085
"8",2008,24.8061163645915
"9",2009,24.9640731640732
"10",2010,23.9244993211134
"11",2011,24.8393333333333
"12",2012,25.1362074620746
"13",2013,25.6533333333333
"14",2014,24.858773382398
"15",2015,26.0534835939896
"16",2016,24.8961199858005
"17",2017,25.2912034789644
"18",2018,25.6382868122977
"19",2019,25.6224475383374
"20",2020,25.2186996779388
"21",2021,25.427065111759
